Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_Parsed,Year,Month,HomeTeam_encoded,AwayTeam_encoded,TotalGoals,GoalDifference,HomeAdvantage,Over2_5,Over1_5,Over3_5,BTTS,FTR_encoded
2005-2006,13/08/05,Aston Villa,Bolton,2,2,D,05-08-13,5,8,1,5,4,0,0,1,1,1,1,1
2005-2006,13/08/05,Everton,Man United,0,2,A,05-08-13,5,8,14,21,2,-2,0,0,1,0,0,2
2005-2006,13/08/05,Fulham,Birmingham,0,0,D,05-08-13,5,8,15,2,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Man City,West Brom,0,0,D,05-08-13,5,8,20,35,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Middlesbrough,Liverpool,0,0,D,05-08-13,5,8,22,19,0,0,0,0,0,0,0,1
2005-2006,13/08/05,Portsmouth,Tottenham,0,2,A,05-08-13,5,8,25,33,2,-2,0,0,1,0,0,2
2005-2006,13/08/05,Sunderland,Charlton,1,3,A,05-08-13,5,8,31,10,4,-2,0,1,1,1,1,2
2005-2006,13/08/05,West Ham,Blackburn,3,1,H,05-08-13,5,8,36,3,4,2,1,1,1,1,1,0
2005-2006,14/08/05,Arsenal,Newcastle,2,0,H,05-08-14,5,8,0,23,2,2,1,0,1,0,0,0
2005-2006,14/08/05,Wigan,Chelsea,0,1,A,05-08-14,5,8,37,11,1,-1,0,0,0,0,0,2
2005-2006,20/08/05,Birmingham,Man City,1,2,A,05-08-20,5,8,2,20,3,-1,0,1,1,0,1,2
2005-2006,20/08/05,Blackburn,Fulham,2,1,H,05-08-20,5,8,3,15,3,1,1,1,1,0,1,0
2005-2006,20/08/05,Charlton,Wigan,1,0,H,05-08-20,5,8,10,37,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Liverpool,Sunderland,1,0,H,05-08-20,5,8,19,31,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Man United,Aston Villa,1,0,H,05-08-20,5,8,21,1,1,1,1,0,0,0,0,0
2005-2006,20/08/05,Newcastle,West Ham,0,0,D,05-08-20,5,8,23,36,0,0,0,0,0,0,0,1
2005-2006,20/08/05,Tottenham,Middlesbrough,2,0,H,05-08-20,5,8,33,22,2,2,1,0,1,0,0,0
2005-2006,20/08/05,West Brom,Portsmouth,2,1,H,05-08-20,5,8,35,25,3,1,1,1,1,0,1,0
2005-2006,21/08/05,Bolton,Everton,0,1,A,05-08-21,5,8,5,14,1,-1,0,0,0,0,0,2
2005-2006,21/08/05,Chelsea,Arsenal,1,0,H,05-08-21,5,8,11,0,1,1,1,0,0,0,0,0
2005-2006,23/08/05,Birmingham,Middlesbrough,0,3,A,05-08-23,5,8,2,22,3,-3,0,1,1,0,0,2
